ts,symbol,dir,entry,tp1,sl,grade
2025-09-01 21:03:27 UTC,SUI/USDT,short,3.15730000,3.15124000,3.14518000,3.13912000,3.16336000,62.15,A,0.1919,0.9800,0.0000,-0.6626,0.3167
2025-09-01 21:03:43 UTC,SUI/USDT,short,3.15150000,3.14418000,3.13686000,3.12954000,3.15882000,68.96,A,0.2323,1.5115,0.0000,-0.7835,0.3173
2025-09-01 21:03:43 UTC,TRUMP/USDT,short,8.27700000,8.26360000,8.25020000,8.23680000,8.29040000,66.52,A,0.1619,2.1087,0.0000,-0.1218,1.2078
2025-09-01 21:03:43 UTC,DOGE/USDT,short,0.20778000,0.20722800,0.20667600,0.20612400,0.20833200,62.39,A,0.2657,1.4241,0.0000,-0.1911,0.4813
2025-09-01 21:03:43 UTC,PI/USDT,short,0.33740000,0.33686000,0.33632000,0.33578000,0.33794000,61.09,A,0.1600,3.0340,0.0000,-0.1423,2.9643
2025-09-01 21:03:47 UTC,PI/USDT,short,0.33750000,0.33696000,0.33642000,0.33588000,0.33804000,61.31,A,0.1600,3.8449,0.0000,-0.1906,2.9643
2025-09-01 21:03:53 UTC,SUI/USDT,short,3.14710000,3.13894000,3.13078000,3.12262000,3.15526000,73.98,A+,0.2593,1.8855,0.0000,-0.9169,0.3175
2025-09-01 21:03:53 UTC,PI/USDT,short,0.33750000,0.33696000,0.33642000,0.33588000,0.33804000,61.14,A,0.1600,4.5412,0.0000,-0.1734,2.9643
2025-09-01 21:04:15 UTC,SUI/USDT,short,3.15100000,3.14244000,3.13388000,3.12532000,3.15956000,60.97,A,0.2717,1.3537,0.0000,-0.1196,0.3174
2025-09-01 21:04:39 UTC,ETH/USDT,short,4259.40000000,4248.38000000,4237.36000000,4226.34000000,4270.42000000,70.00,A+,0.2587,1.8146,0.0000,-0.5844,0.1174
2025-09-01 21:04:39 UTC,SUI/USDT,short,3.14950000,3.14088000,3.13226000,3.12364000,3.15812000,66.04,A,0.2737,1.4786,0.0000,-0.4556,0.3175
2025-09-01 21:04:42 UTC,ETH/USDT,short,4258.75000000,4247.73000000,4236.71000000,4225.69000000,4269.77000000,71.60,A+,0.2588,1.8863,0.0000,-0.6651,0.1174
2025-09-01 21:04:42 UTC,SUI/USDT,short,3.14890000,3.14028000,3.13166000,3.12304000,3.15752000,65.16,A,0.2737,1.4808,0.0000,-0.3355,0.3175
2025-09-01 21:04:42 UTC,XRP/USDT,short,2.74940000,2.74368000,2.73796000,2.73224000,2.75512000,61.50,A,0.2080,1.3923,0.0000,-0.1950,0.3638
2025-09-01 21:04:42 UTC,TRUMP/USDT,short,8.28200000,8.26660000,8.25120000,8.23580000,8.29740000,60.38,A,0.1859,1.3568,0.0000,-0.1403,1.2071
2025-09-01 21:04:49 UTC,SUI/USDT,short,3.14990000,3.14128000,3.13266000,3.12404000,3.15852000,68.75,A,0.2737,1.5180,0.0000,-0.7148,0.3173
2025-09-01 21:04:49 UTC,TRUMP/USDT,short,8.28700000,8.27160000,8.25620000,8.24080000,8.30240000,63.24,A,0.1858,1.3701,0.0000,-0.5564,1.2068
2025-09-01 21:05:06 UTC,SUI/USDT,short,3.15250000,3.14340000,3.13430000,3.12520000,3.16160000,69.56,A,0.2887,1.7597,0.0000,-0.7191,0.3172
2025-09-01 21:05:06 UTC,XRP/USDT,short,2.75090000,2.74500000,2.73910000,2.73320000,2.75680000,68.44,A,0.2145,2.6369,0.0000,-0.1065,0.3636
2025-09-01 21:05:06 UTC,ADA/USDT,short,0.79160000,0.78950000,0.78740000,0.78530000,0.79370000,63.34,A,0.2653,2.2206,0.0000,-0.1074,1.2633
2025-09-01 21:05:06 UTC,SOL/USDT,short,196.88000000,196.42000000,195.96000000,195.50000000,197.34000000,60.91,A,0.2336,1.6555,0.0000,-0.1279,0.5080
2025-09-01 21:05:08 UTC,SOL/USDT,short,196.82000000,196.36000000,195.90000000,195.44000000,197.28000000,63.12,A,0.2337,1.7429,0.0000,-0.2346,0.5080
2025-09-01 21:05:43 UTC,ETH/USDT,short,4260.90000000,4248.11000000,4235.32000000,4222.53000000,4273.69000000,61.74,A,0.3002,0.7934,0.0000,-0.7229,0.1173
2025-09-01 21:06:00 UTC,LINK/USDT,short,22.35900000,22.29260000,22.22620000,22.15980000,22.42540000,63.78,A,0.2970,1.1891,0.0000,-0.7305,0.4471
2025-09-01 21:06:01 UTC,SUI/USDT,short,3.15520000,3.14650000,3.13780000,3.12910000,3.16390000,60.70,A,0.2757,0.9728,0.0000,-0.6485,0.3170
2025-09-01 21:06:10 UTC,ETH/USDT,short,4264.60000000,4251.81000000,4239.02000000,4226.23000000,4277.39000000,61.54,A,0.2999,1.3928,0.0000,-0.2812,0.1172
2025-09-01 21:06:54 UTC,ETH/USDT,short,4269.25000000,4256.63000000,4244.01000000,4231.39000000,4281.87000000,60.51,A,0.2956,0.6853,0.0000,-0.6363,0.1171
2025-09-01 21:08:26 UTC,TA/USDT,short,0.11744000,0.11712200,0.11680400,0.11648600,0.11775800,65.52,A,0.2708,1.5225,0.1258,-0.9139,2.5529
2025-09-01 21:10:30 UTC,CFX/USDT,short,0.17553000,0.17520800,0.17488600,0.17456400,0.17585200,65.32,A,0.1834,1.3491,1.0000,-0.1398,2.8484
2025-09-01 21:11:10 UTC,ETH/USDT,short,4272.30000000,4265.73000000,4259.16000000,4252.59000000,4278.87000000,61.55,A,0.1538,0.4343,0.0000,-0.8607,0.1170
2025-09-01 21:11:23 UTC,XRP/USDT,short,2.74280000,2.73922000,2.73564000,2.73206000,2.74638000,61.53,A,0.1305,0.2362,0.7263,-0.2250,0.3647
